Timestamp,Index,Error,Message,Version,Error ID,Method, Platform
" 07/15/09 01:08:43 AM PDT "," 0 "," 	at !rtm.Invoker.invoke(Invoker:236)	at !rtm.Invoker.invoke(Invoker:134)	at !rtm.ServiceImpl.auth_getToken(ServiceImpl:170)	at !rtm.ServiceImpl.completeAuthorization(ServiceImpl:148)	at !rtm.ServiceImpl.completeAuthorization(ServiceImpl:142)	at !as. "," com.mdt.rtm.ServiceInternalException: Service invocation failed.  Code: -1; message: IOException: Service invocation failed.  Code: 101; message: Invalid frob - did you authenticate? "," 2.8.6 "," rtm-verify-login ","  "," Android "
" 07/15/09 12:37:25 AM PDT "," 0 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," task-list-error-caught ","  "," Android "
" 07/14/09 11:52:54 PM PDT "," 1 "," 	at java.net.Socket.connect(Socket:1002)	at org.apache.http.conn.scheme.PlainSocketFactory.connectSocket(PlainSocketFactory:117)	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator:129)	at org.ap "," java.net.UnknownHostException: Host is unresolved: api.rememberthemilk.com:80 "," 2.8.6 "," sync-error ","  "," Android "
" 07/14/09 11:52:54 PM PDT "," 0 "," 	at java.net.Socket.connect(Socket:1002)	at org.apache.http.conn.scheme.PlainSocketFactory.connectSocket(PlainSocketFactory:117)	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator:129)	at org.ap "," java.net.UnknownHostException: Host is unresolved: api.rememberthemilk.com:80 "," 2.8.6 "," rtm-authenticate-ioexception ","  "," Android "
" 07/14/09 11:49:05 PM PDT "," 1 "," 	at org.apache.harmony.luni.platform.OSNetworkSystem.connectSocketImpl(Native Method)	at org.apache.harmony.luni.platform.OSNetworkSystem.connect(OSNetworkSystem:119)	at org.apache.harmony.luni.net.PlainSocketImpl.connect(PlainSocketImpl:227)	at org.a "," java.net.SocketException: Network unreachable "," 2.8.6 "," sync-error ","  "," Android "
" 07/14/09 11:49:05 PM PDT "," 0 "," 	at org.apache.harmony.luni.platform.OSNetworkSystem.connectSocketImpl(Native Method)	at org.apache.harmony.luni.platform.OSNetworkSystem.connect(OSNetworkSystem:119)	at org.apache.harmony.luni.net.PlainSocketImpl.connect(PlainSocketImpl:227)	at org.a "," java.net.SocketException: Network unreachable "," 2.8.6 "," rtm-authenticate-ioexception ","  "," Android "
" 07/14/09 11:45:54 PM PDT "," 1 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," task-list-error-caught ","  "," Android "
" 07/14/09 11:45:54 PM PDT "," 0 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," rtm-sync-caught ","  "," Android "
" 07/14/09 11:19:44 PM PDT "," 0 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," task-list-error-caught ","  "," Android "
" 07/14/09 11:11:00 PM PDT "," 0 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," task-list-error-caught ","  "," Android "
" 07/14/09 11:05:41 PM PDT "," 1 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," task-list-error-caught ","  "," Android "
" 07/14/09 11:05:41 PM PDT "," 0 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," rtm-sync-caught ","  "," Android "
" 07/14/09 10:49:56 PM PDT "," 0 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," task-list-error-caught ","  "," Android "
" 07/14/09 10:42:23 PM PDT "," 0 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:48)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," task-list-error-caught ","  "," Android "
" 07/14/09 10:29:38 PM PDT "," 1 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," task-list-error-caught ","  "," Android "
" 07/14/09 10:29:38 PM PDT "," 0 "," 	at !sqlite.SQLiteClosable.acquireReference(SQLiteClosable:31)	at !sqlite.SQLiteProgram.<init>(SQLiteProgram:56)	at !sqlite.SQLiteQuery.<init>(SQLiteQuery:49)	at !sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver:49)	at !sqlite.SQLiteDat "," java.lang.IllegalStateException: attempt to acquire a reference on a close SQLiteClosable "," 2.8.6 "," rtm-sync-caught ","  "," Android "
" 07/14/09 10:25:19 PM PDT "," 0 "," 	at !rtm.Invoker.invoke(Invoker:236)	at !rtm.Invoker.invoke(Invoker:134)	at !rtm.ServiceImpl.auth_getToken(ServiceImpl:170)	at !rtm.ServiceImpl.completeAuthorization(ServiceImpl:148)	at !rtm.ServiceImpl.completeAuthorization(ServiceImpl:142)	at !as. "," com.mdt.rtm.ServiceInternalException: Service invocation failed.  Code: -1; message: IOException: Service invocation failed.  Code: 101; message: Invalid frob - did you authenticate? "," 2.8.6 "," rtm-verify-login ","  "," Android "
" 07/14/09 10:20:02 PM PDT "," 1 "," 	at java.net.Socket.connect(Socket:1002)	at org.apache.http.conn.scheme.PlainSocketFactory.connectSocket(PlainSocketFactory:117)	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator:129)	at org.ap "," java.net.UnknownHostException: Host is unresolved: api.rememberthemilk.com:80 "," 2.8.6 "," sync-error ","  "," Android "
" 07/14/09 10:20:01 PM PDT "," 0 "," 	at java.net.Socket.connect(Socket:1002)	at org.apache.http.conn.scheme.PlainSocketFactory.connectSocket(PlainSocketFactory:117)	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator:129)	at org.ap "," java.net.UnknownHostException: Host is unresolved: api.rememberthemilk.com:80 "," 2.8.6 "," rtm-authenticate-ioexception ","  "," Android "
