Timestamp,Index,Error,Message,"Error ID",Method

FIXED =================================
"06/17/09 03:45:38 PM PDT",3,"at !as.sync.RTMSyncProvider.parseRemoteTask(RTMSyncProvider:462)	at !as.sync.RTMSyncProvider.addTasksToList(RTMSyncProvider:320)	at !as.sync.RTMSyncProvider.performSyncInNewThread(RTMSyncProvider:289)	at !as.sync.RTMSyncProvider.access$5(RTMSyncProvi",java.lang.NullPointerException,rtm-indiv-sync-unhandled,

"07/01/09 06:04:42 PM PDT",0,"at org.apache.harmony.xml.parsers.DocumentBuilderImpl.parse(DocumentBuilderImpl:151)	at javax.xml.parsers.DocumentBuilder.parse(DocumentBuilder:157)	at !rtm.Invoker.invoke(Invoker:182)	at !rtm.Invoker.invoke(Invoker:240)	at !rtm.Invoker.invoke(Invok","org.xml.sax.SAXParseException: Attr.value missing f. po (position:START_TAG <task id='62596628' due='' has_due_time='0' added='2009-07-01T21:04:12Z' completed='' deleted='' priority='N' po='0'>@250:132 in java.io.InputStreamReader@43133f90)",rtm-quick-sync-unhandled,

"07/05/09 02:47:01 AM PDT",1,"at !rtm.Invoker.invoke(Invoker:236)	at !rtm.Invoker.invoke(Invoker:175)	at !rtm.Invoker.invoke(Invoker:134)	at !rtm.ServiceImpl.auth_checkToken(ServiceImpl:156)	at !rtm.ServiceImpl.isServiceAuthorized(ServiceImpl:95)	at !as.sync.RTMSyncProvider.aut","com.mdt.rtm.ServiceInternalException: Service invocation failed.  Code: -1; message: IOException: Service invocation failed.  Code: -1; message: method failed: HTTP/1.0 402 Not enough credit",sync-error,

"06/17/09 02:42:13 PM PDT",0,"at !rtm.Invoker.invoke(Invoker:236)	at !rtm.Invoker.invoke(Invoker:134)	at !rtm.ServiceImpl.auth_getToken(ServiceImpl:170)	at !rtm.ServiceImpl.completeAuthorization(ServiceImpl:148)	at !rtm.ServiceImpl.completeAuthorization(ServiceImpl:142)	at !as.","com.mdt.rtm.ServiceInternalException: Service invocation failed.  Code: -1; message: IOException: Service invocation failed.  Code: 101; message: Invalid frob - did you authenticate?",rtm-verify-login,

"06/28/09 06:00:05 PM PDT",0,"at !A.!db.AbstractCursor.checkPosition(AbstractCursor:580)	at !A.!db.AbstractWindowedCursor.checkPosition(AbstractWindowedCursor:172)	at !A.!db.AbstractWindowedCursor.getInt(AbstractWindowedCursor:84)	at !as.data.AbstractModel.retrieveInteger(Abstrac","android.database.CursorIndexOutOfBoundsException: Index 0 requested; with a size of 0",rtm-sync-unhandled,

"06/22/09 10:01:06 AM PDT",0,"at !A.!db.AbstractWindowedCursor.getInt(AbstractWindowedCursor:93)	at !as.data.AbstractModel.retrieveInteger(AbstractModel:188)	at !as.data.task.AbstractTaskModel.getFlags(AbstractTaskModel:484)	at !as.data.task.TaskModelForList.getFlags(TaskModelFor",java.lang.NullPointerException,task-list-error,


IN PROGRESS ===========================

"06/18/09 02:52:51 PM PDT",0,"at !as.activities.TaskListSubActivity.fillData(TaskListSubActivity:541)	at !as.activities.TaskListSubActivity.access$5(TaskListSubActivity:500)	at !as.activities.TaskListSubActivity$2.run(TaskListSubActivity:244)	at java.lang.Thread.run(Thread:1058)",java.lang.NullPointerException,task-list-error,

"06/18/09 09:12:38 PM PDT",0,"at !as.activities.TaskListSubActivity.fillData(TaskListSubActivity:628)	at !as.activities.TaskListSubActivity.access$5(TaskListSubActivity:500)	at !as.activities.TaskListSubActivity$2.run(TaskListSubActivity:244)	at java.lang.Thread.run(Thread:1058)",java.lang.NullPointerException,uncaught,

